topic,text,correct_num,wrong_num,tp,tn,fp,fn,accuracy,keywords
28,,19,0,0,19,0,0,1.0,"[('instant', 0.21135619101490707), ('restaurant', 0.1691386183765277), ('round', 0.1537623803422979), ('another', 0.1214716133029585), ('kitchen', 0.0860695996464399), ('rounds', 0.0806726881185799), ('mkr', 0.0643590171324513), ('restaurants', 0.06269644977866985), ('hq', 0.04589907215198221), ('done', 0.045002442644068275), ('there', 0.03405971619190415), ('fucking', 0.02810988759095924), ('argh', 0.02737034267060314), ('swq44isgms', 0.02737034267060314), ('sammich', 0.02737034267060314), ('tacky', 0.02737034267060314), ('rosti', 0.02737034267060314), ('visits', 0.02737034267060314), ('adaywithoutsandwiches', 0.02737034267060314), ('rate', 0.02737034267060314)]"
29,,18,0,0,18,0,0,1.0,"[('puppy', 0.12249077542902745), ('dogs', 0.08166051695268498), ('leo', 0.06969165241035667), ('place', 0.05935331868021143), ('dog', 0.05632162213394247), ('pet', 0.049761833162712044), ('cats', 0.04646110160690445), ('home', 0.042681135444231987), ('can', 0.038595528699120175), ('is', 0.035378325014921295), ('https', 0.03324453722450565), ('he', 0.032854613787548), ('big', 0.03242864660702669), ('from', 0.031230444433885493), ('some', 0.02995688905290753), ('happy', 0.028742032772168486), ('my', 0.02782508601245718), ('mention3341', 0.027705489723712572), ('0m4ecdpjfk', 0.027705489723712572), ('mention1434', 0.027705489723712572)]"
38,,12,0,0,12,0,0,1.0,"[('katie', 0.1950943140728328), ('nikki', 0.1616626995989261), ('nah', 0.12411221667088626), ('mkr', 0.07184676981822126), ('emilie', 0.05677978182255525), ('saying', 0.05574123259223794), ('and', 0.04531101741798204), ('adorbs', 0.04465687488361565), ('catching', 0.04465687488361565), ('quagmire', 0.04465687488361565), ('ce3ohcawrk', 0.04465687488361565), ('brunette', 0.04465687488361565), ('violet', 0.04465687488361565), ('wiggle', 0.04465687488361565), ('dead', 0.04465687488361565), ('reminds', 0.04465687488361565), ('gutsy', 0.04465687488361565), ('heeeeeyyyyy', 0.04465687488361565), ('nwmhtthugr', 0.04465687488361565), ('nikkie', 0.04465687488361565)]"
23,,22,0,0,22,0,0,1.0,"[('elders', 0.09864283297425915), ('adult', 0.09718676964796989), ('elder', 0.08248358385286027), ('adults', 0.0639564414913568), ('eccentric', 0.037283330657077826), ('butch', 0.037283330657077826), ('tilts', 0.037283330657077826), ('mention1428', 0.037283330657077826), ('like', 0.037035050309941295), ('an', 0.034720334624825634), ('general', 0.033057658113799966), ('always', 0.029048000838374118), ('seem', 0.028845652804242682), ('well', 0.027794465940428875), ('wants', 0.026918413389972022), ('head', 0.026393048431279504), ('part', 0.02591029771871611), ('act', 0.024296692411992473), ('yet', 0.02362994473720786), ('to', 0.023222359044410588)]"
31,,15,0,0,15,0,0,1.0,"[('yes', 0.6190724229005665), ('mention140', 0.1044283843432243), ('mention3652', 0.1044283843432243), ('mention896', 0.1044283843432243), ('h8f7n04q5o', 0.1044283843432243), ('mention419', 0.1044283843432243), ('mention934', 0.1044283843432243), ('mention3333', 0.1044283843432243), ('mention3184', 0.1044283843432243), ('mention1571', 0.1044283843432243), ('engineer', 0.09378191634511115), ('mention894', 0.09378191634511115), ('send', 0.09378191634511115), ('confirm', 0.09378191634511115), ('mention2444', 0.09378191634511115), ('approve', 0.09378191634511115), ('request', 0.09378191634511115), ('mention3093', 0.08756130687455069), ('meh', 0.08756130687455069), ('mention2710', 0.08756130687455069)]"
35,,13,0,2,11,0,0,1.0,"[('ghostbusters', 0.13397428562549876), ('movie', 0.11568987756778368), ('movies', 0.08658350771109259), ('new', 0.06809476843730335), ('looks', 0.06105033898235669), ('corny', 0.05442700502171629), ('awful', 0.05400034550655592), ('the', 0.05295351581985295), ('watch', 0.048688269229860935), ('original', 0.04627595102711347), ('hero', 0.043291753855546296), ('with', 0.036542175084031486), ('all', 0.03590203285934824), ('of', 0.03526647161840991), ('kid', 0.03362160725349744), ('it', 0.03341849381629755), ('mean', 0.03245884615324062), ('where', 0.030525169491178346), ('smut', 0.03030287938531062), ('mention3119', 0.03030287938531062)]"
40,,10,0,0,10,0,0,1.0,"[('ash', 0.33117456859049277), ('back', 0.1858018167480621), ('camila', 0.13854146732800512), ('shaz', 0.10216716636320192), ('mkr', 0.09546074311511915), ('favourite', 0.07713460207169977), ('akeincetnt', 0.07713460207169977), ('mic', 0.07713460207169977), ('praying', 0.07713460207169977), ('psycho', 0.07713460207169977), ('carmilla', 0.07713460207169977), ('dallying', 0.07713460207169977), ('deity', 0.07713460207169977), ('dilly', 0.07713460207169977), ('good', 0.0756683856658757), ('faves', 0.06927073366400256), ('humans', 0.06927073366400256), ('bless', 0.06927073366400256), ('yum', 0.06141962615461699), ('yay', 0.06141962615461699)]"
1,,206,0,0,206,0,0,1.0,"[('it', 0.022739193848270507), ('you', 0.020817738039183735), ('have', 0.02032866949350126), ('thanks', 0.019596723197194858), ('that', 0.018048516959493912), ('not', 0.01777452448998855), ('to', 0.0176149275994662), ('what', 0.01550118304649554), ('about', 0.015307858564278331), ('is', 0.015212631993050398), ('yup', 0.014728664738217453), ('writing', 0.014728664738217453), ('much', 0.014593069644522758), ('would', 0.013259463289102299), ('this', 0.012955834107898181), ('me', 0.012870502166690783), ('was', 0.012829297715055027), ('for', 0.01282322257245026), ('thank', 0.012440628968730645), ('mention4637', 0.012247951998246787)]"
33,,13,0,8,5,0,0,1.0,"[('husband', 0.11972040572397988), ('wife', 0.11443442166882875), ('home', 0.08606484101923323), ('family', 0.08173887262059196), ('the', 0.0745042319180777), ('responsibility', 0.07399761843589935), ('household', 0.06398650018563837), ('outside', 0.06398650018563837), ('should', 0.06129522329512872), ('career', 0.058225484364119486), ('marriage', 0.04448499672103947), ('share', 0.04448499672103947), ('herself', 0.04448499672103947), ('children', 0.044390951511009344), ('financial', 0.04265766679042559), ('her', 0.040271263747392844), ('house', 0.0399068019079933), ('provide', 0.037856783052992886), ('partner', 0.03699880921794967), ('and', 0.03644060660070513)]"
27,,20,0,0,20,0,0,1.0,"[('gdc', 0.04800669734476421), ('night', 0.04554058555384788), ('mornings', 0.04023646575862855), ('tent', 0.04023646575862855), ('camping', 0.037567557404922736), ('tabs', 0.037567557404922736), ('tonight', 0.0372833664593239), ('jokes', 0.03567608647924947), ('mkr', 0.03326948670942766), ('up', 0.0317369569526644), ('last', 0.027032706643604805), ('and', 0.02597746213119574), ('watch', 0.023995978674342906), ('looks', 0.02256646193407244), ('pole', 0.022402128654487062), ('evening', 0.022402128654487062), ('quietly', 0.022402128654487062), ('goodnight', 0.022402128654487062), ('goog', 0.022402128654487062), ('hour', 0.022402128654487062)]"
6,,62,0,0,62,0,0,1.0,"[('andre', 0.1660559028975428), ('kat', 0.14275222333624535), ('and', 0.06530285696144063), ('mkr', 0.056685096132960126), ('are', 0.0258815803411066), ('eliminated', 0.024863690929097813), ('hope', 0.022480886732995475), ('they', 0.022042545269216146), ('make', 0.018101018477057057), ('disgusting', 0.017199911001228016), ('them', 0.017093572790276863), ('tonight', 0.016662035453060678), ('annie', 0.016085799863552876), ('how', 0.015559233115450974), ('you', 0.015398850890571544), ('deserve', 0.014918214557458688), ('suck', 0.01460562142453681), ('be', 0.014311364651827831), ('awful', 0.013380616585695273), ('hate', 0.013222378757244625)]"
7,,53,0,0,53,0,0,1.0,"[('pancakes', 0.09209421036978442), ('breakfast', 0.07937775519006053), ('mkr', 0.06883390038668792), ('bacon', 0.06153309887543325), ('dessert', 0.05384146151600409), ('look', 0.03821934218996355), ('jac', 0.032432618273051404), ('hungrycampers', 0.03154691794979049), ('shaz', 0.030069266354387187), ('maple', 0.02855260006778827), ('well', 0.025331076818618285), ('mention786', 0.022868354401417892), ('chocolate', 0.020387373118502423), ('cereal', 0.020387373118502423), ('vegetables', 0.020387373118502423), ('like', 0.0202516077781786), ('are', 0.019562666077224386), ('mmmm', 0.019035066711858846), ('cardboard', 0.019035066711858846), ('foodie', 0.019035066711858846)]"
25,,21,0,0,21,0,0,1.0,"[('account', 0.07314948347801262), ('which', 0.04691302309932574), ('pic', 0.03377188123231149), ('github', 0.03377188123231149), ('address', 0.03377188123231149), ('gater', 0.031531772558702466), ('profile', 0.031531772558702466), ('user', 0.031531772558702466), ('received', 0.029944194468732935), ('he', 0.029729936760662084), ('on', 0.02876304394408338), ('them', 0.02853663860094235), ('to', 0.02485979559249293), ('my', 0.023605076430235485), ('past', 0.02200836127069678), ('they', 0.02122998180627679), ('has', 0.02099375060895658), ('the', 0.02075215782530467), ('thought', 0.01970938200583296), ('person', 0.019122594101324362)]"
34,,13,0,0,13,0,0,1.0,"[('freebsd', 0.06361351867897479), ('plugged', 0.05750777889087004), ('eventually', 0.04889534448147838), ('amazon', 0.04889534448147838), ('for', 0.046852440298009154), ('basic', 0.045742230488879106), ('on', 0.04198163961110823), ('use', 0.03509624457776393), ('that', 0.03233801768722095), ('usally', 0.032018136709007446), ('requested', 0.032018136709007446), ('mention4609', 0.032018136709007446), ('redis', 0.032018136709007446), ('mention4363', 0.032018136709007446), ('portable', 0.032018136709007446), ('mention4586', 0.032018136709007446), ('puppet', 0.032018136709007446), ('org', 0.032018136709007446), ('vcs', 0.032018136709007446), ('400', 0.032018136709007446)]"
13,,31,0,0,31,0,0,1.0,"[('kids', 0.09759421575624373), ('don', 0.04551074849899137), ('olds', 0.036406087080037064), ('adults', 0.029728154040758598), ('young', 0.02875493808090118), ('yr', 0.025994987473058527), ('13', 0.025994987473058527), ('schools', 0.025994987473058527), ('bank', 0.025994987473058527), ('teachers', 0.025994987473058527), ('seeing', 0.025051967606584295), ('accts', 0.02427072472002471), ('kid', 0.024087121614445928), ('child', 0.023519301993059676), ('because', 0.023132401468813603), ('fucks', 0.02304872964437652), ('like', 0.022594144498788812), ('tho', 0.02011200099570865), ('generally', 0.02011200099570865), ('how', 0.019993669845583057)]"
15,,28,0,3,25,0,0,1.0,"[('gamergate', 0.13999592288170934), ('sims', 0.050045621311169394), ('gaming', 0.047989875139228776), ('bed', 0.04258888093461699), ('wifes', 0.03952420101976246), ('play', 0.038847933886814394), ('sure', 0.037848518226457094), ('put', 0.03486685196658994), ('kitchen', 0.03294021714863749), ('all', 0.032577770557556736), ('games', 0.030563615203197395), ('mommy', 0.028221410011260297), ('xbox', 0.028221410011260297), ('expression', 0.028221410011260297), ('your', 0.027706031264649388), ('indie', 0.026349467346508306), ('pax', 0.026349467346508306), ('going', 0.026135681331863087), ('oapi', 0.023994937569614388), ('mention3102', 0.023994937569614388)]"
4,,82,0,0,82,0,0,1.0,"[('mkr', 0.10703920744134005), ('mkr2015', 0.044975820145534785), ('fuck', 0.02659688020505584), ('how', 0.02646742665445531), ('manu', 0.025078579911467946), ('sass', 0.024201806435573972), ('word', 0.022256124875509528), ('where', 0.022056896664593387), ('ready', 0.02129593833513109), ('yummie', 0.019663950201394272), ('refined', 0.019663950201394272), ('hee', 0.019663950201394272), ('im', 0.019509802247529885), ('that', 0.018429192875513017), ('sorbet', 0.018359628860792884), ('watch', 0.01759060049594976), ('missed', 0.017435248714859016), ('you', 0.01727116774823409), ('what', 0.017147141999013214), ('in', 0.016779297967682842)]"
3,,123,2,0,123,0,2,0.984,"[('http', 0.1220419261652466), ('co', 0.12041061190305366), ('https', 0.038106787481710605), ('this', 0.03470350356647747), ('you', 0.019168326125786245), ('counterculture', 0.015780883423339904), ('mention1932', 0.015339274762565872), ('must', 0.014630936761532577), ('got', 0.014491173770484712), ('on', 0.014483494869902268), ('look', 0.01394741657623975), ('here', 0.01390894622868989), ('stopwadhwa2015', 0.013787904563092217), ('guys', 0.013086701879001742), ('grip', 0.012651521192115643), ('via', 0.012209210732348139), ('was', 0.012027597092991376), ('me', 0.011933630787842353), ('is', 0.010970767091689723), ('what', 0.010380369119012068)]"
10,,47,1,1,46,0,1,0.9791666666666666,"[('twitter', 0.09414548477696924), ('tweet', 0.04517046018205289), ('tweets', 0.04381443980912613), ('hashtag', 0.028898677901309303), ('from', 0.0218791716520072), ('the', 0.021421855728980758), ('gg', 0.020075760080912393), ('mention1358', 0.01987105552061138), ('past', 0.019473084359611613), ('to', 0.01861203776353496), ('name', 0.01733920674078558), ('or', 0.0165684856175534), ('get', 0.016200491851413104), ('of', 0.01573161233958481), ('it', 0.015726350031198846), ('and', 0.015674819751038606), ('video', 0.015306387623930339), ('hr', 0.01494074647654957), ('provides', 0.01494074647654957), ('30m', 0.01494074647654957)]"
11,,41,1,0,41,1,0,0.9761904761904762,"[('she', 0.1114542697192077), ('her', 0.07970116610629553), ('lol', 0.02377097370977878), ('out', 0.02353454676867072), ('me', 0.0230822037114546), ('time', 0.021368689529073264), ('to', 0.020534115317791337), ('your', 0.020343918707640574), ('that', 0.019421132435384823), ('is', 0.017733705566969515), ('kicks', 0.017268624822754177), ('mention1679', 0.017268624822754177), ('kant', 0.017268624822754177), ('brain', 0.017268624822754177), ('mention3532', 0.017268624822754177), ('no', 0.01652105763148096), ('tell', 0.016203854245703916), ('includes', 0.01612318681826004), ('if', 0.015397638111362275), ('it', 0.015147192664610789)]"
12,,32,1,4,28,0,1,0.9696969696969697,"[('she', 0.04367978966236019), ('could', 0.04170620385272983), ('pretty', 0.034756368499121386), ('re', 0.03334218049095689), ('like', 0.03183916729561636), ('love', 0.03075076966971796), ('you', 0.026616751826150434), ('girl', 0.026218214426508287), ('he', 0.025651307769118097), ('beautiful', 0.02524566303591066), ('with', 0.02504152112833056), ('abnormally', 0.023310992590563), ('riwil', 0.023310992590563), ('as', 0.02303575226476624), ('we', 0.022140517606537128), ('strong', 0.021873654106055383), ('quote', 0.021764760790997303), ('passionate', 0.021764760790997303), ('eats', 0.021764760790997303), ('faces', 0.020668937291037456)]"
18,,24,1,0,24,1,0,0.96,"[('girls', 0.14781514012049843), ('these', 0.083407961169238), ('sassy', 0.05508501965195971), ('mkr', 0.052817800382257536), ('teeth', 0.036501943487618115), ('television', 0.03236483294375027), ('sass', 0.02995033930150871), ('the', 0.029906303293153635), ('pants', 0.028241103194572927), ('themselves', 0.02452368297309059), ('like', 0.022661791638006742), ('on', 0.0222058572793287), ('would', 0.021781513546768844), ('their', 0.021781513546768844), ('mean', 0.02176880700097575), ('out', 0.02132000430113113), ('of', 0.020695294722180662), ('mention786', 0.02047196995815554), ('snaggletooth', 0.020322889168591554), ('fly', 0.020322889168591554)]"
24,,20,1,0,20,1,0,0.9523809523809523,"[('fees', 0.05386263356636399), ('freebsd', 0.042542794826317516), ('businesses', 0.038459460961717505), ('mention1973', 0.038459460961717505), ('funding', 0.038459460961717505), ('hiring', 0.038459460961717505), ('contribute', 0.035908422377575994), ('solutions', 0.03410048644546558), ('future', 0.029755610305953806), ('we', 0.029222689484464145), ('that', 0.02883558254338945), ('to', 0.028310366589558194), ('going', 0.026712809941714953), ('help', 0.02626711314642935), ('in', 0.025524764521466365), ('mention4637', 0.025438648566705628), ('working', 0.025438648566705628), ('can', 0.024857793194754056), ('ve', 0.0246163108619398), ('yeah', 0.023757854967771063)]"
26,,20,1,6,14,0,1,0.9523809523809523,"[('father', 0.09833589762458184), ('should', 0.08727386285575944), ('parents', 0.0862424838925994), ('children', 0.07865521720856969), ('mother', 0.07023992687470132), ('the', 0.06047848912056889), ('school', 0.058953302918670986), ('child', 0.05745079497263014), ('foundation', 0.05067119157755901), ('parent', 0.05067119157755901), ('both', 0.039715628221969536), ('decisions', 0.038098903515201406), ('pierre', 0.038098903515201406), ('treat', 0.038098903515201406), ('employed', 0.038098903515201406), ('family', 0.03724227383775721), ('of', 0.037029795199330404), ('great', 0.03574975342958426), ('rather', 0.03574975342958426), ('financially', 0.033780794385039344)]"
-1,,851,58,66,785,31,27,0.9361936193619362,"[('mkr', 0.016937100840464705), ('the', 0.016305832884194828), ('to', 0.015500167695207697), ('you', 0.015456204648984806), ('is', 0.015225054334739686), ('it', 0.014292314447171705), ('of', 0.013725213026379784), ('that', 0.013612887848782793), ('and', 0.01360052271709531), ('in', 0.01306508817876362), ('my', 0.012364993068198046), ('for', 0.012137122154486563), ('like', 0.011792300557867934), ('they', 0.01112085269659787), ('this', 0.010818767448388781), ('if', 0.010100853736869161), ('on', 0.010082347846117687), ('but', 0.009834963421210137), ('me', 0.009831883532936223), ('co', 0.009687183357405985)]"
2,,167,14,56,111,11,3,0.9226519337016574,"[('sports', 0.05939437844814779), ('football', 0.057678894110658074), ('game', 0.02976763570475154), ('rt', 0.027379409516496856), ('women', 0.026843261905247124), ('don', 0.021183836082641398), ('female', 0.02100523782724453), ('not', 0.020895896659599074), ('hate', 0.02086257872087632), ('play', 0.02067635413441949), ('announcers', 0.020182940730215006), ('nfl', 0.019882039622942372), ('watching', 0.01929793052545819), ('should', 0.019115425129256004), ('the', 0.01871600325702443), ('basketball', 0.018461418151872216), ('sport', 0.018461418151872216), ('commentators', 0.018074581475402158), ('about', 0.017511551866360667), ('when', 0.017449085763552755)]"
9,,47,4,11,36,4,0,0.9215686274509803,"[('hair', 0.07342901686978846), ('selfies', 0.04387461985396451), ('cut', 0.03716082172815863), ('never', 0.03511724069427552), ('weird', 0.03120652150923552), ('wear', 0.030433753170387805), ('my', 0.02989976347829828), ('white', 0.029473872791102647), ('think', 0.027413183459157008), ('dog', 0.026898240590284415), ('not', 0.026035859544069166), ('pictures', 0.02496265327563945), ('posting', 0.02370582062108024), ('firmly', 0.02370582062108024), ('elders', 0.02357909823288212), ('selfie', 0.021937309926982253), ('filter', 0.021937309926982253), ('it', 0.020324697993537692), ('no', 0.01989450945779213), ('get', 0.01932690255958054)]"
8,,47,5,19,28,4,1,0.9038461538461539,"[('driving', 0.06288754446303768), ('drive', 0.05813904673071002), ('driver', 0.0509178324803636), ('bus', 0.04455310342031815), ('drivers', 0.04345100403045945), ('women', 0.030770804415439577), ('killin', 0.029176394610560295), ('can', 0.025522009531132102), ('rt', 0.025304477039221854), ('me', 0.024191146291923944), ('exception', 0.02304244917751334), ('woman', 0.02287654895678079), ('are', 0.02280404349742726), ('parking', 0.021882295957920222), ('fact', 0.02144404431503789), ('get', 0.02081358737185597), ('cars', 0.02024982454798362), ('on', 0.020018235711999424), ('ridiculous', 0.01963026895474164), ('car', 0.01963026895474164)]"
14,,25,3,7,18,2,1,0.8928571428571429,"[('funny', 0.11762399892022321), ('comedians', 0.10307167656347602), ('joke', 0.060636019932283826), ('comedian', 0.05063163561223695), ('comedy', 0.05063163561223695), ('laugh', 0.04685439497285203), ('humor', 0.0399870136780735), ('are', 0.0395732932824206), ('makes', 0.038364918562118294), ('about', 0.03631307540522736), ('cringe', 0.035140796229639025), ('rt', 0.034154130211408736), ('sucks', 0.03313534590276589), ('every', 0.029660253783445233), ('successfully', 0.02855187148680199), ('tututut', 0.02855187148680199), ('amy', 0.02855187148680199), ('mention116', 0.02855187148680199), ('tina', 0.02855187148680199), ('standup', 0.02855187148680199)]"
30,,16,2,5,11,1,1,0.8888888888888888,"[('rappers', 0.08619869212126552), ('girls', 0.05485584088916275), ('songs', 0.054185107221619774), ('expectin', 0.054185107221619774), ('bands', 0.054185107221619774), ('mention676', 0.054185107221619774), ('vocalists', 0.054185107221619774), ('smarter', 0.054185107221619774), ('downloaded', 0.054185107221619774), ('mixtape', 0.054185107221619774), ('metal', 0.054185107221619774), ('meanwhile', 0.05059097730529595), ('difficult', 0.04804379645872262), ('ruin', 0.04607028013365963), ('chick', 0.04607028013365963), ('accept', 0.04607028013365963), ('fans', 0.04192234874216603), ('female', 0.04011588557595328), ('don', 0.03952692786301288), ('majority', 0.037656299351200746)]"
0,,221,51,81,140,27,24,0.8125,"[('women', 0.0490001529700734), ('men', 0.04223546065116616), ('woman', 0.031410174557335226), ('man', 0.02982730219686743), ('of', 0.025790163244710118), ('to', 0.022740526140173623), ('be', 0.02130878012159212), ('womensday', 0.019882723847100083), ('are', 0.01987976027246306), ('https', 0.019643610377656422), ('is', 0.01948813877292527), ('the', 0.019389839699831726), ('as', 0.019033338703200637), ('in', 0.0184945150932682), ('love', 0.01838017432829999), ('adaywithoutwomen', 0.017766825534171037), ('for', 0.016944047232480018), ('co', 0.0166784470502118), ('than', 0.015845877948093678), ('and', 0.015510837021335433)]"
5,,51,13,14,37,10,3,0.796875,"[('sexist', 0.08453735482923476), ('sexism', 0.027946261854877148), ('but', 0.027490449575691224), ('not', 0.026882641307750296), ('sexists', 0.02489388335752502), ('call', 0.023787605106650008), ('are', 0.023724091361876774), ('you', 0.023658679355410002), ('me', 0.020350477009003873), ('rt', 0.020013467270854304), ('it', 0.01951819811749175), ('guys', 0.01854012289255693), ('re', 0.016751162725043664), ('to', 0.015915559669944485), ('fuck', 0.015840601082742194), ('can', 0.015139136297285373), ('no', 0.014939310519148966), ('my', 0.014734465575760827), ('women', 0.014602091624617822), ('men', 0.013561991541972317)]"
